image_file,page,page_reference,bbox_points_left_top_right_bottom,source_xref,transparency_mask_xref,associated_product_or_page_section
images/img_021_p08_xref164.png,21,A.20 Product sourcing,"375.27, 416.3, 578.1, 527.19",164,169,Cabinet hardware detail / product image (also appears on A.07)
images/img_046_p21_xref427.png,21,A.20 Product sourcing,"453.19, 72.36, 517.94, 191.15",427,,Drinking / reverse-osmosis faucet option image
images/img_047_p21_xref428.png,21,A.20 Product sourcing,"354.57, 37.0, 448.77, 191.87",428,,Main kitchen faucet option image
images/img_048_p21_xref429.png,21,A.20 Product sourcing,"218.0, 198.62, 660.22, 391.85",429,433,Apron-sink options composite
images/img_049_p21_xref430.png,21,A.20 Product sourcing,"208.95, 536.14, 455.19, 666.5",430,434,Quartz countertop sample images
images/img_050_p21_xref431.png,21,A.20 Product sourcing,"239.25, 672.45, 650.72, 801.91",431,435,Kitchen area rug image
images/img_051_p21_xref432.png,21,A.20 Product sourcing,"278.54, 470.31, 455.67, 524.86",432,436,Cabinet hardware product image
images/img_007_p02_xref47.png,22,A.21 Product sourcing,"1101.4, 34.22, 1163.31, 91.13",47,,A.21 Product sourcing
images/img_052_p22_xref468.png,22,A.21 Product sourcing,"214.81, 41.38, 680.68, 208.74",468,471,Sink pendant options composite
images/img_053_p22_xref469.png,22,A.21 Product sourcing,"275.58, 224.71, 611.59, 421.43",469,472,Terracotta floor-tile option image
images/img_054_p22_xref470.png,22,A.21 Product sourcing,"210.89, 435.9, 678.71, 598.07",470,473,Backsplash tile options composite
images/img_007_p02_xref47.png,23,A.22 Product sourcing,"1101.4, 34.22, 1163.31, 91.13",47,,A.22 Product sourcing
images/img_055_p23_xref495.png,23,A.22 Product sourcing,"314.16, 544.52, 620.57, 773.01",495,498,Counter-depth refrigerator / freezer alternatives composite
images/img_056_p23_xref496.png,23,A.22 Product sourcing,"310.59, 69.59, 636.39, 281.79",496,499,Induction range alternatives composite
images/img_057_p23_xref497.png,23,A.22 Product sourcing,"291.68, 305.21, 659.79, 535.39",497,,Recirculating hood insert image
